orgunitlevel2,orgunitlevel3,organisationunitname,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Tikemet 2015,14.0,276.0,676.0,40.76809453471196
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Tir 2015,268.0,669.0,1426.0,46.88156972669937
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Yekatit 2015,0.0,318.0,944.0,33.65079365079365
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Ginbot 2015,0.0,82.0,232.0,35.1931330472103
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Hamle 2014,1.0,99.0,350.0,28.205128205128204
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Hidar 2015,0.0,100.0,419.0,23.809523809523807
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Megabit 2015,0.0,123.0,494.0,24.848484848484848
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Meskerem 2015,4.0,68.0,342.0,19.825072886297377
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Miazia 2015,0.0,156.0,313.0,49.681528662420384
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Nehase 2014,8.0,83.0,292.0,28.327645051194537
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Sene 2015,0.0,38.0,201.0,18.81188118811881
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Tahesas 2015,0.0,92.0,455.0,20.175438596491226
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Tikemet 2015,1.0,49.0,291.0,16.78082191780822
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Tir 2015,2.0,86.0,357.0,24.022346368715084
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Yekatit 2015,0.0,138.0,407.0,33.82352941176471
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Ginbot 2015,12.0,104.0,395.0,26.262626262626267
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Hamle 2014,1.0,58.0,253.0,22.83464566929134
