ADM3_PCODE,Eth_Month_Year,Latitude,Longitude,Elevation_m,MaxTemp_C,MinTemp_C,AvgTemp_C,Rainfall_mm,Humidity_pct
ET010105,Sene 2016,14.0402,37.9018,1098.6,32.24,22.24,27.24,256.93484520362244,49.1
ET010105,Tahesas 2016,14.0402,37.9018,1098.6,30.61,20.61,25.61,1.991196894781413,28.9
ET010105,Tikemet 2016,14.0402,37.9018,1098.6,31.83,21.83,26.83,30.871860015952784,40.8
ET010105,Tir 2016,14.0402,37.9018,1098.6,30.81,20.81,25.81,2.8014409419413795,27.1
ET010105,Yekatit 2016,14.0402,37.9018,1098.6,32.79,22.79,27.79,2.38313658977065,21.5
ET010105,Ginbot 2017,14.0402,37.9018,1098.6,35.14,25.14,30.14,50.3338928544368,26.9
ET010105,Hamle 2016,14.0402,37.9018,1098.6,28.13,18.13,23.13,234.2819059831594,78.4
ET010105,Hidar 2017,14.0402,37.9018,1098.6,30.13,20.13,25.13,15.971641484549496,40.3
ET010105,Megabit 2017,14.0402,37.9018,1098.6,33.63,23.63,28.63,6.667164175896964,25.2
ET010105,Meskerem 2017,14.0402,37.9018,1098.6,28.54,18.54,23.54,144.74134106347512,74.1
ET010105,Miazia 2017,14.0402,37.9018,1098.6,35.23,25.23,30.23,24.81193664923967,25.5
ET010105,Nehase 2016,14.0402,37.9018,1098.6,26.97,16.97,21.97,270.1572569320907,85.1
ET010105,Sene 2017,14.0402,37.9018,1098.6,33.06,23.06,28.06,93.95160250550154,39.1
ET010105,Tahesas 2017,14.0402,37.9018,1098.6,29.25,19.25,24.25,2.13688443477662,32.9
ET010105,Tikemet 2017,14.0402,37.9018,1098.6,29.79,19.79,24.79,43.614627775883534,56.1
ET010105,Tir 2017,14.0402,37.9018,1098.6,30.14,20.14,25.14,3.2885692410647,29.2
ET010105,Yekatit 2017,14.0402,37.9018,1098.6,32.39,22.39,27.39,2.689032024405261,28.1
ET010105,Hamle 2017,14.0402,37.9018,1098.6,28.3,18.3,23.3,229.01181510910817,75.4
ET010105,Hidar 2018,14.0402,37.9018,1098.6,29.57,19.57,24.57,5.689651188135599,36.7
ET010105,Meskerem 2018,14.0402,37.9018,1098.6,28.05,18.05,23.05,189.90976381311933,74.4
ET010105,Nehase 2017,14.0402,37.9018,1098.6,27.08,17.08,22.08,271.6372991694998,83.5
ET010105,Tahesas 2018,14.0402,37.9018,1098.6,28.98,18.98,23.98,1.9995695689597663,32.8
ET010105,Tikemet 2018,14.0402,37.9018,1098.6,29.12,19.12,24.12,33.51288665250311,53.0
ET010105,Tir 2018,14.0402,37.9018,1098.6,29.7,19.7,24.7,3.071210659734062,29.9
ET010106,Ginbot 2014,13.6283,38.0401,1238.7,33.15,23.15,28.15,62.693283153455155,24.1
ET010106,Hamle 2013,13.6283,38.0401,1238.7,26.71,16.71,21.71,304.2023089477727,73.1
ET010106,Hidar 2014,13.6283,38.0401,1238.7,28.32,18.32,23.32,13.160026904221873,32.7
ET010106,Megabit 2014,13.6283,38.0401,1238.7,32.01,22.01,27.01,14.613932795865605,21.5
ET010106,Meskerem 2014,13.6283,38.0401,1238.7,26.9,16.9,21.9,160.17316341579195,65.6
ET010106,Miazia 2014,13.6283,38.0401,1238.7,33.22,23.22,28.22,22.451386572073947,21.2
ET010106,Nehase 2013,13.6283,38.0401,1238.7,26.16,16.16,21.16,273.0033865500725,79.7
ET010106,Sene 2014,13.6283,38.0401,1238.7,29.58,19.58,24.58,227.6770250462696,47.3
ET010106,Tahesas 2014,13.6283,38.0401,1238.7,27.79,17.79,22.79,7.524588698676716,28.7
ET010106,Tikemet 2014,13.6283,38.0401,1238.7,28.19,18.19,23.19,58.116088454661096,44.4
ET010106,Tir 2014,13.6283,38.0401,1238.7,28.45,18.45,23.45,7.779808360860096,28.9
ET010106,Yekatit 2014,13.6283,38.0401,1238.7,30.44,20.44,25.44,6.065721409295195,26.7
ET010106,Ginbot 2015,13.6283,38.0401,1238.7,32.8,22.8,27.8,97.13675421893667,29.1
ET010106,Hamle 2014,13.6283,38.0401,1238.7,26.06,16.06,21.06,324.53626632104454,77.6
ET010106,Hidar 2015,13.6283,38.0401,1238.7,27.36,17.36,22.36,8.183575976987527,36.7
ET010106,Megabit 2015,13.6283,38.0401,1238.7,31.04,21.04,26.04,13.893167912746415,19.3
ET010106,Meskerem 2015,13.6283,38.0401,1238.7,26.76,16.76,21.76,162.6732327535629,69.5
ET010106,Miazia 2015,13.6283,38.0401,1238.7,32.85,22.85,27.85,32.23455744917675,22.2
ET010106,Nehase 2014,13.6283,38.0401,1238.7,25.53,15.53,20.53,292.3538785648948,83.5
ET010106,Sene 2015,13.6283,38.0401,1238.7,30.12,20.12,25.12,268.51063821417904,50.1
ET010106,Tahesas 2015,13.6283,38.0401,1238.7,27.05,17.05,22.05,8.325755535854295,34.1
ET010106,Tikemet 2015,13.6283,38.0401,1238.7,27.72,17.72,22.72,37.81535176688808,47.4
ET010106,Tir 2015,13.6283,38.0401,1238.7,28.16,18.16,23.16,8.636225152003478,29.3
ET010106,Yekatit 2015,13.6283,38.0401,1238.7,29.55,19.55,24.55,4.75189460953626,21.8
ET010106,Ginbot 2016,13.6283,38.0401,1238.7,33.58,23.58,28.58,98.556361723817,28.6
ET010106,Hamle 2015,13.6283,38.0401,1238.7,29.2,19.2,24.2,252.81231398809524,58.4
ET010106,Hidar 2016,13.6283,38.0401,1238.7,29.43,19.43,24.43,18.278659052929388,35.7
ET010106,Megabit 2016,13.6283,38.0401,1238.7,33.02,23.02,28.02,23.67316234905701,19.8
ET010106,Meskerem 2016,13.6283,38.0401,1238.7,29.76,19.76,24.76,134.81788866987486,49.5
ET010106,Miazia 2016,13.6283,38.0401,1238.7,34.05,24.05,29.05,22.386611288955827,18.6
ET010106,Nehase 2015,13.6283,38.0401,1238.7,27.79,17.79,22.79,225.28971004144265,71.1
ET010106,Sene 2016,13.6283,38.0401,1238.7,30.73,20.73,25.73,279.16153247141153,48.0
ET010106,Tahesas 2016,13.6283,38.0401,1238.7,29.16,19.16,24.16,4.295657718969014,27.5
