orgunitlevel2,orgunitlevel3,organisationunitname,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate,Period_Gregorian_start,Period_Gregorian_end,Period
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Ginbot 2014,0.0,20.0,212.0,9.389671361502346,2022-05-09,2022-06-07,2022 May
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Hamle 2013,2.0,30.0,206.0,14.492753623188406,2021-07-08,2021-08-06,2021 Jul
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Hidar 2014,1.0,14.0,209.0,6.666666666666667,2021-11-10,2021-12-09,2021 Nov
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Megabit 2014,0.0,17.0,254.0,6.666666666666667,2022-03-10,2022-04-08,2022 Mar
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Meskerem 2014,23.0,20.0,150.0,13.245033112582782,2021-09-11,2021-10-10,2021 Sept
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Miazia 2014,0.0,15.0,232.0,6.437768240343347,2022-04-09,2022-05-08,2022 Apr
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Nehase 2013,2.0,23.0,184.0,12.432432432432432,2021-08-07,2021-09-05,2021 Aug
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Sene 2014,2.0,28.0,297.0,9.395973154362416,2022-06-08,2022-07-07,2022 Jun
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Tahesas 2014,0.0,13.0,198.0,6.532663316582915,2021-12-10,2022-01-08,2021 Dec
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Tikemet 2014,2.0,13.0,165.0,7.83132530120482,2021-10-11,2021-11-09,2021 Oct
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Tir 2014,0.0,19.0,231.0,8.189655172413794,2022-01-09,2022-02-07,2022 Jan
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Yekatit 2014,0.0,20.0,195.0,10.20408163265306,2022-02-08,2022-03-09,2022 Feb
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Ginbot 2014,1.0,22.0,165.0,13.253012048192772,2022-05-09,2022-06-07,2022 May
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Hamle 2013,0.0,9.0,81.0,10.975609756097562,2021-07-08,2021-08-06,2021 Jul
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Hidar 2014,0.0,12.0,114.0,10.434782608695652,2021-11-10,2021-12-09,2021 Nov
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Megabit 2014,1.0,8.0,128.0,6.2015503875969,2022-03-10,2022-04-08,2022 Mar
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Meskerem 2014,0.0,12.0,109.0,10.909090909090908,2021-09-11,2021-10-10,2021 Sept
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Miazia 2014,3.0,13.0,131.0,9.848484848484848,2022-04-09,2022-05-08,2022 Apr
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Nehase 2013,4.0,14.0,118.0,11.76470588235294,2021-08-07,2021-09-05,2021 Aug
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Sene 2014,3.0,36.0,165.0,21.686746987951807,2022-06-08,2022-07-07,2022 Jun
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Tahesas 2014,2.0,8.0,122.0,6.504065040650407,2021-12-10,2022-01-08,2021 Dec
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Tikemet 2014,2.0,9.0,106.0,8.411214953271028,2021-10-11,2021-11-09,2021 Oct
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Tir 2014,2.0,14.0,116.0,11.965811965811966,2022-01-09,2022-02-07,2022 Jan
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Yekatit 2014,1.0,13.0,130.0,9.923664122137405,2022-02-08,2022-03-09,2022 Feb
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Ginbot 2014,6.0,26.0,207.0,12.5,2022-05-09,2022-06-07,2022 May
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Hamle 2013,1.0,38.0,161.0,23.456790123456788,2021-07-08,2021-08-06,2021 Jul
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Hidar 2014,1.0,21.0,170.0,12.280701754385964,2021-11-10,2021-12-09,2021 Nov
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Megabit 2014,10.0,17.0,186.0,9.090909090909092,2022-03-10,2022-04-08,2022 Mar
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Meskerem 2014,0.0,29.0,183.0,15.760869565217392,2021-09-11,2021-10-10,2021 Sept
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Miazia 2014,4.0,20.0,181.0,10.989010989010987,2022-04-09,2022-05-08,2022 Apr
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Nehase 2013,5.0,28.0,173.0,16.091954022988507,2021-08-07,2021-09-05,2021 Aug
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Sene 2014,29.0,41.0,233.0,17.52136752136752,2022-06-08,2022-07-07,2022 Jun
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Tahesas 2014,1.0,23.0,192.0,11.917098445595856,2021-12-10,2022-01-08,2021 Dec
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Tikemet 2014,1.0,18.0,201.0,8.91089108910891,2021-10-11,2021-11-09,2021 Oct
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Tir 2014,1.0,23.0,165.0,13.855421686746988,2022-01-09,2022-02-07,2022 Jan
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Yekatit 2014,7.0,32.0,193.0,16.49484536082474,2022-02-08,2022-03-09,2022 Feb
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Ginbot 2014,1.0,9.0,99.0,9.0,2022-05-09,2022-06-07,2022 May
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Hamle 2013,0.0,9.0,100.0,8.91089108910891,2021-07-08,2021-08-06,2021 Jul
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Hidar 2014,0.0,5.0,64.0,7.6923076923076925,2021-11-10,2021-12-09,2021 Nov
