Region,Zone,Woreda,Period,Latitude,Longitude,Elevation_m,MaxTemp_C,MinTemp_C,AvgTemp_C,Rainfall_mm,Humidity_pct,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate,Period_Gregorian_start,Period_Gregorian_end,ADM3_PCODE,climate_source
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,2025 Dec,9.0024,38.7315,2331.2,20.23,10.23,15.23,6.595,49.7,veWjz5L6CYU,Tahesas 2018,20.0,35.0,246.0,14.17004048582996,2025-12-10,2026-01-08,ET140105,direct
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,2025 Oct,9.0024,38.7315,2331.2,19.52,9.52,14.52,15.245,57.5,veWjz5L6CYU,Tikemet 2018,10.0,56.0,260.0,21.455938697318008,2025-10-11,2025-11-09,ET140105,direct
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,2026 Jan,9.0024,38.7315,2331.2,20.55,10.55,15.55,8.344,43.0,veWjz5L6CYU,Tir 2018,26.0,29.0,275.0,10.507246376811594,2026-01-09,2026-02-07,ET140105,direct
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,2025 Jul,8.9474,38.7306,2239.9,20.84,10.84,15.84,277.074,84.5,smjdej6f9a2,Hamle 2017,27.0,72.0,380.0,18.89763779527559,2025-07-08,2025-08-06,ET140102,direct
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,2025 Nov,8.9474,38.7306,2239.9,21.33,11.33,16.33,6.749,45.3,smjdej6f9a2,Hidar 2018,62.0,116.0,529.0,21.88679245283019,2025-11-10,2025-12-09,ET140102,direct
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,2025 Sept,8.9474,38.7306,2239.9,20.75,10.75,15.75,177.598,76.1,smjdej6f9a2,Meskerem 2018,37.0,75.0,477.0,15.690376569037657,2025-09-11,2025-10-10,ET140102,direct
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,2025 Aug,8.9474,38.7306,2239.9,20.42,10.42,15.42,309.785,85.2,smjdej6f9a2,Nehase 2017,55.0,80.0,496.0,16.096579476861166,2025-08-07,2025-09-05,ET140102,direct
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,2025 Dec,8.9474,38.7306,2239.9,21.61,11.61,16.61,8.333,47.7,smjdej6f9a2,Tahesas 2018,54.0,99.0,420.0,23.51543942992874,2025-12-10,2026-01-08,ET140102,direct
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,2025 Oct,8.9474,38.7306,2239.9,20.86,10.86,15.86,23.557,56.1,smjdej6f9a2,Tikemet 2018,60.0,143.0,492.0,29.006085192697768,2025-10-11,2025-11-09,ET140102,direct
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,2026 Jan,8.9474,38.7306,2239.9,21.92,11.92,16.92,9.399,40.8,smjdej6f9a2,Tir 2018,80.0,65.0,346.0,18.73198847262248,2026-01-09,2026-02-07,ET140102,direct
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,2025 Jul,9.0489,38.8096,2585.5,20.08,10.08,15.08,293.725,86.3,y5Wg5rqVqVw,Hamle 2017,75.0,64.0,296.0,21.548821548821547,2025-07-08,2025-08-06,ET140107,direct
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,2025 Nov,9.0489,38.8096,2585.5,20.28,10.28,15.28,4.261,48.2,y5Wg5rqVqVw,Hidar 2018,20.0,78.0,328.0,23.70820668693009,2025-11-10,2025-12-09,ET140107,direct
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,2025 Sept,9.0489,38.8096,2585.5,19.93,9.93,14.93,160.299,77.2,y5Wg5rqVqVw,Meskerem 2018,12.0,32.0,268.0,11.895910780669144,2025-09-11,2025-10-10,ET140107,direct
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,2025 Aug,9.0489,38.8096,2585.5,19.67,9.67,14.67,318.921,86.7,y5Wg5rqVqVw,Nehase 2017,14.0,50.0,414.0,12.048192771084338,2025-08-07,2025-09-05,ET140107,direct
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,2025 Dec,9.0489,38.8096,2585.5,20.56,10.56,15.56,6.847,50.9,y5Wg5rqVqVw,Tahesas 2018,14.0,54.0,216.0,24.88479262672811,2025-12-10,2026-01-08,ET140107,direct
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,2025 Oct,9.0489,38.8096,2585.5,19.88,9.88,14.88,16.1,57.9,y5Wg5rqVqVw,Tikemet 2018,21.0,92.0,303.0,30.26315789473684,2025-10-11,2025-11-09,ET140107,direct
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,2026 Jan,9.0489,38.8096,2585.5,20.86,10.86,15.86,8.755,44.0,y5Wg5rqVqVw,Tir 2018,31.0,34.0,153.0,22.07792207792208,2026-01-09,2026-02-07,ET140107,direct
Afar Region,Zone 1 Zone,Adaar Woreda,2025 Jul,11.2697,40.4332,711.1,36.88,26.88,31.88,78.072,32.8,B2g4E9bpYaC,Hamle 2017,11.0,69.0,232.0,29.6137339055794,2025-07-08,2025-08-06,ET020109,direct
Afar Region,Zone 1 Zone,Adaar Woreda,2025 Nov,11.2697,40.4332,711.1,30.6,20.6,25.6,8.257,36.1,B2g4E9bpYaC,Hidar 2018,25.0,93.0,144.0,64.13793103448275,2025-11-10,2025-12-09,ET020109,direct
Afar Region,Zone 1 Zone,Adaar Woreda,2025 Sept,11.2697,40.4332,711.1,34.75,24.75,29.75,23.554,34.8,B2g4E9bpYaC,Meskerem 2018,21.0,91.0,143.0,63.19444444444444,2025-09-11,2025-10-10,ET020109,direct
Afar Region,Zone 1 Zone,Adaar Woreda,2025 Aug,11.2697,40.4332,711.1,32.77,22.77,27.77,158.906,54.5,B2g4E9bpYaC,Nehase 2017,18.0,93.0,194.0,47.69230769230769,2025-08-07,2025-09-05,ET020109,direct
Afar Region,Zone 1 Zone,Adaar Woreda,2025 Dec,11.2697,40.4332,711.1,29.34,19.34,24.34,11.52,44.3,B2g4E9bpYaC,Tahesas 2018,4.0,94.0,143.0,65.27777777777779,2025-12-10,2026-01-08,ET020109,direct
Afar Region,Zone 1 Zone,Adaar Woreda,2025 Oct,11.2697,40.4332,711.1,33.48,23.48,28.48,4.03,28.8,B2g4E9bpYaC,Tikemet 2018,21.0,103.0,153.0,66.88311688311688,2025-10-11,2025-11-09,ET020109,direct
Afar Region,Zone 1 Zone,Adaar Woreda,2026 Jan,11.2697,40.4332,711.1,29.37,19.37,24.37,8.725,38.2,B2g4E9bpYaC,Tir 2018,0.0,130.0,185.0,69.89247311827957,2026-01-09,2026-02-07,ET020109,direct
Afar Region,Zone 1 Zone,Afambo Woreda,2025 Jul,11.3008,41.6844,434.6,39.84,29.84,34.84,34.324,33.6,bWatsmhxeYR,Hamle 2017,0.0,22.0,125.0,17.46031746031746,2025-07-08,2025-08-06,ET020104,direct
Afar Region,Zone 1 Zone,Afambo Woreda,2025 Nov,11.3008,41.6844,434.6,31.56,21.56,26.56,5.695,46.1,bWatsmhxeYR,Hidar 2018,0.0,23.0,130.0,17.557251908396946,2025-11-10,2025-12-09,ET020104,direct
Afar Region,Zone 1 Zone,Afambo Woreda,2025 Sept,11.3008,41.6844,434.6,38.12,28.12,33.12,13.822,35.9,bWatsmhxeYR,Meskerem 2018,0.0,23.0,222.0,10.31390134529148,2025-09-11,2025-10-10,ET020104,direct
Afar Region,Zone 1 Zone,Afambo Woreda,2025 Aug,11.3008,41.6844,434.6,36.23,26.23,31.23,81.428,51.9,bWatsmhxeYR,Nehase 2017,0.0,23.0,151.0,15.13157894736842,2025-08-07,2025-09-05,ET020104,direct
Afar Region,Zone 1 Zone,Afambo Woreda,2025 Dec,11.3008,41.6844,434.6,30.25,20.25,25.25,4.112,53.0,bWatsmhxeYR,Tahesas 2018,0.0,100.0,347.0,28.735632183908045,2025-12-10,2026-01-08,ET020104,direct
Afar Region,Zone 1 Zone,Afambo Woreda,2025 Oct,11.3008,41.6844,434.6,35.17,25.17,30.17,3.578,36.3,bWatsmhxeYR,Tikemet 2018,0.0,28.0,157.0,17.72151898734177,2025-10-11,2025-11-09,ET020104,direct
Afar Region,Zone 1 Zone,Afambo Woreda,2026 Jan,11.3008,41.6844,434.6,29.93,19.93,24.93,6.154,48.6,bWatsmhxeYR,Tir 2018,0.0,180.0,319.0,56.25,2026-01-09,2026-02-07,ET020104,direct
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,2025 Jul,11.5529,41.4749,387.4,40.7,30.7,35.7,30.693,32.2,kxhExY8eMtK,Hamle 2017,0.0,90.0,355.0,25.280898876404496,2025-07-08,2025-08-06,ET020103,direct
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,2025 Nov,11.5529,41.4749,387.4,32.64,22.64,27.64,6.001,42.5,kxhExY8eMtK,Hidar 2018,0.0,51.0,228.0,22.270742358078603,2025-11-10,2025-12-09,ET020103,direct
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,2025 Sept,11.5529,41.4749,387.4,39.1,29.1,34.1,14.858,33.0,kxhExY8eMtK,Meskerem 2018,0.0,67.0,313.0,21.337579617834397,2025-09-11,2025-10-10,ET020103,direct
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,2025 Aug,11.5529,41.4749,387.4,36.79,26.79,31.79,74.994,51.3,kxhExY8eMtK,Nehase 2017,12.0,105.0,367.0,28.532608695652172,2025-08-07,2025-09-05,ET020103,direct
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,2025 Dec,11.5529,41.4749,387.4,31.29,21.29,26.29,5.925,49.3,kxhExY8eMtK,Tahesas 2018,0.0,105.0,296.0,35.35353535353536,2025-12-10,2026-01-08,ET020103,direct
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,2025 Oct,11.5529,41.4749,387.4,36.35,26.35,31.35,2.877,32.5,kxhExY8eMtK,Tikemet 2018,0.0,18.0,147.0,12.162162162162163,2025-10-11,2025-11-09,ET020103,direct
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,2026 Jan,11.5529,41.4749,387.4,30.96,20.96,25.96,7.177,45.2,kxhExY8eMtK,Tir 2018,0.0,190.0,562.0,33.747779751332146,2026-01-09,2026-02-07,ET020103,direct
Afar Region,Zone 1 Zone,Ayssaita Woreda,2025 Jul,11.5529,41.4749,387.4,40.7,30.7,35.7,30.693,32.2,OuwClj9SXEs,Hamle 2017,1.0,3.0,173.0,1.7241379310344829,2025-07-08,2025-08-06,ET020103,direct
