organisationunitname,region_malaria,zone_malaria,normalized,top3_candidates,ADM3_PCODE_suggested,ADM3_PCODE_final,note
West Azernet Woreda,Central Ethiopian Region,Silte Zone,west azernet,Andabet/ West Esite|Amhara/South Gondar|ET030211|score=85 ;; Jarso (West Wellega)|Oromia/West Wellega|ET040108|score=85 ;; West Imi|Somali/Afder|ET050805|score=85,,ET030211,auto:global(score=85) -> Andabet/ West Esite
Mudula Town Administration,Central Ethiopian Region,Tembaro Special Woreda,mudula,Duna|Central Ethiopia/Hadiya|ET070207|score=67 ;; Dila town|Southern Ethiopi/Gedeo|ET070507|score=67 ;; Undulu|Benishangul Gumz/Assosa|ET060308|score=66,,,auto:no_match_above_floor -> null climate
Deri Saja Zuria Woreda,Central Ethiopian Region,Yem Zone,deri saja zuria,Metu Zuria|Oromia/Ilu Aba Bora|ET040310|score=85 ;; Ambo Zuria|Oromia/West Shewa|ET040503|score=85 ;; Dila Zuria|Southern Ethiopi/Gedeo|ET070505|score=85,,ET040310,auto:global(score=85) -> Metu Zuria
Fofa Woreda,Central Ethiopian Region,Yem Zone,fofa,Ofa|Southern Ethiopi/Wolayita|ET070607|score=85 ;; Dewa Cheffa|Amhara/Oromia|ET031001|score=77 ;; Denba Gofa|Southern Ethiopi/Gofa|ET071502|score=77,,ET070607,auto:global(score=85) -> Ofa
Saja Town,Central Ethiopian Region,Yem Zone,saja,Saharti|Tigray/South Eastern|ET010601|score=67 ;; Kersa (Jimma)|Oromia/Jimma|ET040405|score=67 ;; Wara Jarso|Oromia/North Shewa (OR)|ET040601|score=67,,,auto:no_match_above_floor -> null climate
Toba Health office,Central Ethiopian Region,Yem Zone,toba,Argoba|Amhara/South Wello|ET030401|score=77 ;; Doba|Oromia/West Hararge|ET040902|score=75 ;; Goba (OR)|Oromia/Bale|ET041110|score=75,,,auto:no_match_above_floor -> null climate
Addis Ketema Operational Woreda,Dire Dawa City Administration,Addis Ketema Operational Woreda,addis ketema operational,[SUGGESTED] Addis Ketema (DD)|Dire Dawa/Dire Dawa urban|ET150109|score=85 ;; Addis Ketema|Addis Ababa/Region 14|ET140108|score=90 ;; Ejere /Addis Alem|Oromia/West Shewa|ET040511|score=85 ;; Addis Ketema (DD)|Dire Dawa/Dire Dawa urban|ET150109|score=85,ET150109,ET150109,auto:suggested(82-87)
Dire Dawa Operational Woreda,Dire Dawa City Administration,Dire Dawa Operational Woreda,dire dawa operational,Dire|Oromia/Borena|ET041211|score=90 ;; Dugda Dawa|Oromia/West Guji|ET041515|score=85 ;; Dire Teyara|Harari/Harari|ET130106|score=85,,ET041211,auto:global(score=90) -> Dire
Gendekore Operational Woreda,Dire Dawa City Administration,Gendekore Operational Woreda,gendekore operational,[SUGGESTED] Gende Kore|Dire Dawa/Dire Dawa urban|ET150110|score=85 ;; Kore|Oromia/West Arsi|ET041705|score=90 ;; Gende Kore|Dire Dawa/Dire Dawa urban|ET150110|score=85 ;; Gena|South West Ethiopia/Dawuro|ET110404|score=77,ET150110,ET150110,auto:suggested(82-87)
Goro Operational Woreda,Dire Dawa City Administration,Goro Operational Woreda,goro operational,Goro Gutu|Oromia/East Hararge|ET041010|score=85 ;; Goro Muti|Oromia/East Hararge|ET041089|score=85 ;; Goro (Bale)|Oromia/Bale|ET041116|score=85,,ET041010,auto:global(score=85) -> Goro Gutu
Melkajebdu Operational Woreda,Dire Dawa City Administration,Melkajebdu Operational Woreda,melkajebdu operational,Ale|Oromia/Ilu Aba Bora|ET040311|score=72 ;; Jeldu|Oromia/West Shewa|ET040502|score=72 ;; Merti|Oromia/Arsi|ET040801|score=72,,,auto:no_match_above_floor -> null climate
Dimma Woreda,Gambella Region,Agniwa Zone,dimma,Dima (TG)|Tigray/North Western|ET010115|score=88 ;; Kersa (Jimma)|Oromia/Jimma|ET040405|score=80 ;; Mena (Jimma)|Oromia/Jimma|ET040406|score=80,,ET010115,auto:global(score=88) -> Dima (TG)
Jor Woreda,Gambella Region,Agniwa Zone,jor,[SUGGESTED] Jore|Gambela/Agnewak|ET120204|score=85 ;; Jore|Gambela/Agnewak|ET120204|score=85 ;; Debre Tabor town|Amhara/South Gondar|ET030210|score=72 ;; Jimma Arjo|Oromia/East Wellega|ET040214|score=72,ET120204,ET120204,auto:suggested(82-87)
Wanthoa Woreda,Gambella Region,Nuer Zone,wanthoa,Homa|Oromia/West Wellega|ET040117|score=77 ;; Ofa|Southern Ethiopi/Wolayita|ET070607|score=72 ;; Wantawo|Gambela/Nuwer|ET120104|score=71,,ET120104,auto:in_region(score=71) -> Wantawo
Abba Gada Sub City,Oromia Region,Adama City Health Office,abba gada,Adwa|Tigray/Central|ET010204|score=77 ;; Adar|Afar/Awsi /Zone 1|ET020109|score=77 ;; Ada'a|Oromia/East Shewa|ET040706|score=68,,,auto:no_match_above_floor -> null climate
Boku Shenen Sub City,Oromia Region,Adama City Health Office,boku shenen,Boke|Oromia/West Hararge|ET040910|score=77 ;; Bokh|Somali/Doolo|ET050702|score=77 ;; Shone Town|Central Ethiopia/Hadiya|ET070212|score=72,,ET040910,auto:in_region(score=77) -> Boke
Dabe Sub City,Oromia Region,Adama City Health Office,dabe,Andabet/ West Esite|Amhara/South Gondar|ET030211|score=90 ;; Abergele (TG)|Tigray/Central|ET010210|score=77 ;; Inkolo Wabe|Oromia/Arsi|ET040824|score=77,,ET040824,auto:in_region(score=77) -> Inkolo Wabe
Dambela Sub City,Oromia Region,Adama City Health Office,dambela,Gambela town|Gambela/Agnewak|ET120206|score=85 ;; Kediada Gambela|Central Ethiopia/Kembata Tembaro|ET070303|score=83 ;; Dama|Oromia/Guji|ET041408|score=77,,ET041408,auto:in_region(score=77) -> Dama
Lugo Sub City,Oromia Region,Adama City Health Office,lugo,God-God|Somali/Afder|ET050899|score=68 ;; Illu Galan|Oromia/West Shewa|ET040500|score=67 ;; Kelete Awelallo|Tigray/Eastern|ET010306|score=60,,,auto:no_match_above_floor -> null climate
Bokoji Town,Oromia Region,Arsi Zone,bokoji,[SUGGESTED] Bekoji town|Oromia/Arsi|ET040894|score=83 ;; Bekoji town|Oromia/Arsi|ET040894|score=83 ;; Boke|Oromia/West Hararge|ET040910|score=77 ;; Bokh|Somali/Doolo|ET050702|score=77,ET040894,ET040894,auto:suggested(82-87)
Enkelo Wabe Woreda,Oromia Region,Arsi Zone,enkelo wabe,Inkolo Wabe|Oromia/Arsi|ET040824|score=81 ;; Awabel|Amhara/East Gojam|ET030612|score=72 ;; Worabe town|Central Ethiopia/Siltie|ET072010|score=72,,ET040824,auto:in_region(score=81) -> Inkolo Wabe
